;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Desagregación 2;Nacional;Nacional Urbano-Rural;Área;Nacional Urbano;Nacional Rural;Provincial;Azuay;Bolívar;Cañar;Carchi;Cotopaxi;Chimborazo;El Oro;Esmeraldas;Guayas;Imbabura;Loja;Los Ríos;Manabí;Morona Santiago;Napo;Pastaza;Pichincha;Tungurahua;Zamora Chinchipe;Galápagos;Sucumbíos;Orellana;Santo Domingo de los Tsáchilas;Santa Elena;Amazonía;Dominios;Quito;Guayaquil;Cuenca;Machala;Ambato;Resto sierra urbano;Resto costa urbano;Amazonía urbano;Sexo;Hombre;Mujer;Edad;Entre 15 y 24 años;Entre 25 y 34 años;Entre 35 y 44 años;Entre 45 y 64 años;65 años y más ;Etnia;Indígena;Afro ecuatoriano;Mestizo/a;Blanco;Montubio;Otro Cuál?;
dic-07;Otro Empleo no pleno;;1.504.000;;785.461;718.539;;79.153;31.723;31.819;24.973;62.777;74.445;64.251;52.084;339.966;53.611;61.694;84.662;157.314;-;-;-;212.332;86.005;-;-;-;-;-;-;75.475;;85.702;176.870;25.490;23.371;19.096;174.476;261.455;19.002;;830.341;673.659;;318.327;283.752;266.242;428.283;207.397;;154.867;59.910;1.185.445;96.325;-;6.534;
dic-07;Empleo no clasificado;;65.155;;45.430;19.725;;6.772;446;2.768;132;3.018;2.330;1.575;942;14.086;1.908;913;2.074;3.334;-;-;-;18.042;3.085;-;-;-;-;-;-;3.343;;14.833;12.045;2.685;1.185;1.372;5.725;5.246;2.340;;39.282;25.873;;10.217;11.404;15.029;23.505;5.000;;3.647;877;56.694;3.938;-;0;
dic-07;Desempleo;;316.697;;256.662;60.036;;13.053;2.995;3.428;3.146;2.980;4.251;11.785;10.059;109.173;8.146;9.194;16.815;21.223;-;-;-;79.165;9.879;-;-;-;-;-;-;10.107;;47.159;72.861;8.516;3.817;6.183;46.077;68.665;3.383;;144.918;171.780;;143.418;70.616;44.831;47.882;9.950;;10.794;15.909;262.660;25.840;-;1.495;
dic-07;Desempleo Abierto;;193.225;;168.728;24.497;;7.705;1.386;1.953;1.970;1.532;2.976;6.172;5.916;72.323;3.579;3.948;8.396;12.576;-;-;-;51.537;5.295;-;-;-;-;-;-;5.388;;34.079;53.905;6.352;2.623;3.522;27.747;38.429;2.071;;97.565;95.660;;91.535;51.658;27.629;17.887;4.515;;4.048;9.825;163.896;15.297;-;159;
dic-07;Desempleo Oculto;;123.472;;87.934;35.539;;5.348;1.609;1.475;1.176;1.447;1.276;5.613;4.144;36.849;4.567;5.246;8.419;8.647;-;-;-;27.628;4.584;-;-;-;-;-;-;4.719;;13.080;18.956;2.164;1.194;2.661;18.330;30.236;1.312;;47.353;76.119;;51.882;18.957;17.202;29.996;5.435;;6.746;6.084;98.765;10.543;-;1.335;
dic-07;Desempleo Cesante;;190.044;;160.289;29.755;;8.119;1.119;1.769;1.906;1.583;2.536;5.876;6.385;69.443;5.027;4.528;8.006;10.787;-;-;-;52.330;5.116;-;-;-;-;-;-;4.217;;32.996;51.482;5.736;2.292;3.069;27.824;35.286;1.604;;99.490;90.554;;63.302;47.990;33.632;37.104;8.016;;5.637;10.020;156.276;16.836;-;1.276;
dic-07;Desempleo Nuevo;;126.653;;96.372;30.281;;4.934;1.877;1.659;1.239;1.396;1.716;5.910;3.674;39.730;3.120;4.666;8.809;10.436;-;-;-;26.835;4.763;-;-;-;-;-;-;5.890;;14.163;21.379;2.780;1.525;3.114;18.254;33.379;1.778;;45.427;81.226;;80.115;22.625;11.199;10.778;1.934;;5.157;5.889;106.384;9.004;-;219;
dic-07;Población Económicamente Inactiva;;2.973.460;;2.115.384;858.077;;139.308;28.496;39.089;38.943;59.903;70.672;134.390;99.453;835.710;78.975;91.384;177.724;359.021;-;-;-;609.285;82.405;-;-;-;-;-;-;110.508;;375.663;493.449;90.709;49.135;44.017;380.797;636.142;45.474;;764.796;2.208.664;;1.189.924;381.260;301.438;526.845;573.994;;109.152;113.209;2.493.637;240.582;-;16.879;
jun-08;Población Total;;13.781.797;;9.129.646;4.652.151;;724.407;190.972;208.436;209.930;404.825;442.145;587.191;410.350;3.761.510;396.905;464.580;753.503;1.297.612;-;-;-;2.643.082;517.472;-;-;-;-;-;-;679.498;;1.563.764;2.213.059;372.068;230.838;188.873;1.704.074;2.637.931;219.039;;6.868.579;6.913.218;;2.631.169;1.847.451;1.702.130;2.310.058;1.022.841;;774.233;576.916;10.286.078;879.902;-;11.257;
jun-08;Población menor de 15 años;;4.268.148;;2.655.282;1.612.866;;217.307;60.989;63.548;58.762;127.936;138.731;173.082;151.838;1.128.210;118.626;150.612;229.020;413.502;-;-;-;785.355;140.862;-;-;-;-;-;-;272.909;;431.916;645.981;90.482;71.642;47.776;494.873;800.557;72.054;;2.189.753;2.078.395;;0;0;0;0;0;;242.542;138.610;2.433.938;197.876;-;1.771;
jun-08;Población en Edad de Trabajar (PET);;9.513.649;;6.474.364;3.039.285;;507.099;129.983;144.888;151.168;276.889;303.414;414.109;258.512;2.633.300;278.279;313.969;524.484;884.111;-;-;-;1.857.727;376.610;-;-;-;-;-;-;406.589;;1.131.848;1.567.078;281.585;159.196;141.097;1.209.201;1.837.373;146.985;;4.678.826;4.834.823;;2.631.169;1.847.451;1.702.130;2.310.058;1.022.841;;531.691;438.306;7.852.140;682.026;-;9.486;
jun-08;Población Económicamente Activa;;6.589.368;;4.433.491;2.155.877;;352.227;107.386;93.399;111.417;214.276;235.791;288.579;178.963;1.793.703;187.834;208.663;334.920;536.318;-;-;-;1.336.302;287.906;-;-;-;-;-;-;287.984;;818.459;1.109.505;187.097;114.282;97.514;812.564;1.190.827;103.243;;3.893.496;2.695.873;;1.426.498;1.499.360;1.424.062;1.800.336;439.112;;425.214;295.741;5.407.971;455.530;-;4.911;
jun-08;Empleo;;6.245.225;;4.151.002;2.094.223;;339.230;104.656;87.810;106.365;211.069;232.305;273.808;166.798;1.662.303;178.900;200.008;318.957;508.993;-;-;-;1.260.383;282.559;-;-;-;-;-;-;278.589;;770.109;1.012.931;178.426;106.839;93.386;771.673;1.119.794;97.843;;3.742.213;2.503.012;;1.262.781;1.418.513;1.383.309;1.748.480;432.143;;416.965;276.316;5.119.265;427.769;-;4.911;
jun-08;Empleo Adecuado/Pleno;;2.750.595;;2.248.018;502.577;;166.122;13.570;27.865;25.332;80.136;63.972;126.272;59.183;782.433;65.899;68.248;124.955;163.647;-;-;-;760.834;110.755;-;-;-;-;-;-;103.136;;518.399;583.143;117.461;59.239;50.355;393.893;467.728;57.801;;1.937.602;812.993;;375.975;751.814;699.108;824.730;98.969;;99.150;112.929;2.320.526;216.217;-;1.773;
jun-08;Subempleo;;1.130.699;;696.949;433.750;;53.116;26.656;10.308;26.846;26.533;19.725;57.963;36.298;395.814;33.625;32.022;82.260;103.253;-;-;-;151.506;34.773;-;-;-;-;-;-;32.089;;79.172;180.710;14.506;19.256;12.528;109.509;271.384;9.884;;665.939;464.760;;244.911;258.946;272.671;313.116;41.054;;60.979;61.967;935.915;70.745;-;1.094;
jun-08;Subempleo por insuficiencia de tiempo de trabajo;;846.132;;527.132;319.001;;44.451;17.203;7.097;19.503;19.470;14.758;44.975;28.037;299.935;23.692;24.576;63.039;76.291;-;-;-;110.257;24.146;-;-;-;-;-;-;22.731;;64.786;136.747;12.827;14.305;9.545;76.579;204.727;7.615;;457.856;388.276;;173.925;195.658;201.756;242.613;32.180;;41.195;47.597;699.777;57.011;-;551;
jun-08;Subempleo por insuficiencia de ingresos;;284.567;;169.817;114.750;;8.665;9.453;3.211;7.343;7.063;4.966;12.988;8.260;95.878;9.932;7.446;19.221;26.962;-;-;-;41.249;10.628;-;-;-;-;-;-;9.358;;14.386;43.963;1.679;4.951;2.982;32.930;66.657;2.269;;208.083;76.484;;70.986;63.288;70.915;70.503;8.874;;19.784;14.370;236.137;13.733;-;542;
jun-08;Empleo no remunerado;;614.172;;257.629;356.542;;22.779;33.415;15.675;9.898;37.508;70.738;17.276;16.087;100.140;16.116;26.297;19.370;48.313;-;-;-;81.859;38.685;-;-;-;-;-;-;56.988;;51.414;61.869;11.158;7.651;8.575;49.113;61.294;6.555;;204.623;409.548;;252.935;97.255;95.375;124.304;44.304;;117.248;13.056;449.161;33.664;-;1.042;
jun-08;Otro Empleo no pleno;;1.688.693;;909.254;779.439;;95.751;30.549;33.963;43.870;54.887;70.909;72.022;52.798;376.913;61.395;73.440;92.373;191.336;-;-;-;247.452;94.107;-;-;-;-;-;-;84.067;;110.962;181.595;33.840;20.419;20.128;205.142;314.230;22.939;;898.349;790.344;;381.161;299.990;303.849;466.111;237.582;;133.286;86.666;1.366.416;101.324;-;1.002;
jun-08;Empleo no clasificado;;61.065;;39.152;21.914;;1.462;466;0;418;12.005;6.961;274;2.432;7.002;1.865;0;0;2.445;-;-;-;18.731;4.238;-;-;-;-;-;-;2.309;;10.162;5.614;1.462;274;1.801;14.016;5.159;665;;35.699;25.366;;7.798;10.508;12.306;20.220;10.234;;6.302;1.698;47.247;5.819;-;0;
jun-08;Desempleo;;344.143;;282.489;61.654;;12.997;2.729;5.589;5.052;3.207;3.487;14.771;12.165;131.401;8.934;8.656;15.963;27.325;-;-;-;75.920;5.346;-;-;-;-;-;-;9.395;;48.350;96.574;8.671;7.443;4.128;40.890;71.033;5.400;;151.283;192.860;;163.717;80.848;40.753;51.856;6.969;;8.249;19.425;288.707;27.762;-;0;
jun-08;Desempleo Abierto;;243.614;;217.324;26.290;;9.144;1.015;3.129;3.340;470;1.601;9.519;7.376;104.907;4.891;4.799;7.219;17.641;-;-;-;58.576;3.947;-;-;-;-;-;-;5.358;;38.991;85.166;7.363;5.947;3.582;26.418;45.916;3.940;;123.250;120.364;;120.873;61.354;26.644;32.043;2.700;;2.716;13.478;205.999;21.420;-;0;
jun-08;Desempleo Oculto;;100.530;;65.165;35.365;;3.854;1.715;2.460;1.712;2.737;1.886;5.252;4.789;26.494;4.043;3.857;8.744;9.684;-;-;-;17.343;1.400;-;-;-;-;-;-;4.037;;9.359;11.408;1.307;1.497;546;14.472;25.117;1.460;;28.033;72.497;;42.845;19.494;14.109;19.814;4.269;;5.533;5.947;82.708;6.342;-;0;
jun-08;Desempleo Cesante;;238.031;;207.834;30.198;;8.678;239;2.885;3.833;1.356;1.601;7.554;7.076;98.416;6.010;5.919;12.959;13.196;-;-;-;57.904;3.704;-;-;-;-;-;-;6.019;;42.460;78.451;6.490;6.065;3.307;22.788;44.706;3.567;;113.592;124.440;;91.362;64.345;30.189;45.166;6.969;;5.187;14.146;197.053;21.646;-;0;
jun-08;Desempleo Nuevo;;106.112;;74.655;31.457;;4.319;2.490;2.704;1.219;1.851;1.886;7.217;5.090;32.985;2.924;2.737;3.004;14.128;-;-;-;18.016;1.642;-;-;-;-;-;-;3.376;;5.890;18.124;2.181;1.378;821;18.102;26.327;1.832;;37.691;68.421;;72.355;16.503;10.564;6.690;0;;3.062;5.280;91.654;6.116;-;0;
jun-08;Población Económicamente Inactiva;;2.924.281;;2.040.873;883.408;;154.872;22.597;51.489;39.750;62.613;67.622;125.530;79.549;839.596;90.445;105.305;189.564;347.793;-;-;-;521.425;88.704;-;-;-;-;-;-;118.605;;313.388;457.573;94.488;44.914;43.584;396.637;646.546;43.742;;785.331;2.138.950;;1.204.671;348.090;278.068;509.722;583.729;;106.477;142.565;2.444.168;226.495;-;4.575;
dic-08;Población Total;;13.878.704;;9.202.348;4.676.355;;697.024;182.400;230.115;168.903;412.617;452.241;625.908;449.486;3.678.206;410.384;439.877;761.812;1.339.790;-;-;-;2.736.785;515.454;-;-;-;-;-;-;687.151;;1.573.753;2.228.359;379.115;232.986;192.522;1.720.356;2.653.706;221.550;;6.831.453;7.047.250;;2.619.626;1.812.106;1.690.535;2.423.892;1.102.837;;878.700;628.683;10.242.734;914.541;-;12.729;
dic-08;Población menor de 15 años;;4.229.707;;2.633.450;1.596.257;;211.782;59.523;77.713;50.828;134.523;139.088;183.759;158.091;1.092.883;130.419;139.412;243.571;413.326;-;-;-;758.916;135.453;-;-;-;-;-;-;271.678;;403.816;650.417;97.965;69.935;46.547;492.322;800.565;71.882;;2.175.561;2.054.146;;0;0;0;0;0;;259.816;166.023;2.399.189;200.676;-;2.687;
dic-08;Población en Edad de Trabajar (PET);;9.648.996;;6.568.898;3.080.098;;485.242;122.877;152.402;118.074;278.094;313.154;442.149;291.395;2.585.322;279.965;300.464;518.241;926.465;-;-;-;1.977.869;380.002;-;-;-;-;-;-;415.473;;1.169.936;1.577.942;281.150;163.051;145.975;1.228.034;1.853.142;149.667;;4.655.892;4.993.104;;2.619.626;1.812.106;1.690.535;2.423.892;1.102.837;;618.885;462.660;7.843.545;713.865;-;10.043;
dic-08;Población Económicamente Activa;;6.385.421;;4.329.308;2.056.113;;338.406;84.719;107.912;72.647;206.043;221.500;292.083;171.542;1.724.087;188.603;205.003;312.041;497.479;-;-;-;1.340.894;285.294;-;-;-;-;-;-;297.159;;796.585;1.120.060;184.346;115.704;102.938;796.386;1.109.101;104.188;;3.800.531;2.584.890;;1.341.702;1.420.574;1.358.773;1.814.264;450.109;;486.846;302.875;5.134.839;454.440;-;6.421;
dic-08;Empleo;;6.005.395;;4.012.298;1.993.097;;326.487;82.184;105.078;69.356;203.277;217.482;270.430;160.765;1.567.278;178.359;200.487;295.195;462.242;-;-;-;1.263.471;277.793;-;-;-;-;-;-;288.522;;749.783;1.013.846;176.246;105.634;99.074;752.780;1.015.737;99.197;;3.635.236;2.370.159;;1.156.387;1.336.885;1.312.205;1.758.263;441.655;;477.965;283.106;4.816.879;421.466;-;5.980;
dic-08;Empleo Adecuado/Pleno;;2.858.659;;2.339.288;519.370;;159.433;19.055;33.179;28.112;72.507;62.832;143.136;60.383;840.609;66.623;65.117;119.110;184.266;-;-;-;781.710;103.881;-;-;-;-;-;-;108.558;;509.017;622.179;121.774;62.230;56.093;410.114;497.529;60.353;;1.991.157;867.502;;382.839;741.221;706.800;906.816;120.984;;98.112;122.608;2.403.713;231.951;-;2.274;
dic-08;Subempleo;;957.978;;588.824;369.155;;40.492;10.455;15.432;12.249;14.525;25.835;43.888;20.207;329.767;28.514;20.474;74.401;81.166;-;-;-;151.404;41.200;-;-;-;-;-;-;41.219;;70.097;173.695;13.005;16.227;10.871;101.542;193.166;10.220;;549.097;408.881;;197.446;221.355;230.616;262.098;46.463;;80.467;53.110;753.912;68.897;-;1.592;
dic-08;Subempleo por insuficiencia de tiempo de trabajo;;704.516;;445.009;259.507;;30.306;6.237;10.281;7.865;8.380;16.135;32.094;13.983;259.122;19.857;12.844;56.810;63.032;-;-;-;111.965;24.735;-;-;-;-;-;-;27.356;;56.622;130.405;11.263;11.520;7.763;70.008;150.780;6.647;;378.324;326.192;;142.774;158.203;167.216;198.793;37.531;;51.024;37.521;563.368;51.413;-;1.191;
dic-08;Subempleo por insuficiencia de ingresos;;253.462;;143.815;109.648;;10.186;4.218;5.150;4.384;6.145;9.700;11.793;6.224;70.644;8.657;7.630;17.592;18.134;-;-;-;39.439;16.465;-;-;-;-;-;-;13.864;;13.476;43.290;1.742;4.708;3.108;31.533;42.386;3.573;;170.773;82.689;;54.673;63.152;63.401;63.305;8.932;;29.443;15.590;190.544;17.485;-;401;
dic-08;Empleo no remunerado;;523.928;;211.070;312.858;;34.961;21.203;18.290;4.441;39.458;50.956;16.842;13.132;72.873;18.744;39.063;12.265;15.177;-;-;-;69.186;41.103;-;-;-;-;-;-;54.046;;45.071;55.264;11.289;5.862;7.969;42.322;35.984;7.309;;159.714;364.214;;208.617;82.551;74.967;112.711;45.082;;123.180;12.080;367.341;21.328;-;0;
dic-08;Otro Empleo no pleno;;1.649.349;;859.126;790.223;;91.341;31.471;38.117;24.554;76.584;77.859;66.369;66.436;322.513;62.461;75.300;88.955;181.264;-;-;-;253.188;91.299;-;-;-;-;-;-;84.213;;118.082;162.130;29.918;21.121;23.832;196.354;286.860;20.829;;923.415;725.935;;364.599;288.733;296.288;471.705;228.024;;174.874;95.030;1.278.707;98.626;-;2.113;
dic-08;Empleo no clasificado;;15.481;;13.990;1.491;;260;0;61;0;203;0;195;607;1.516;2.017;531;463;369;-;-;-;7.984;310;-;-;-;-;-;-;485;;7.516;578;260;195;310;2.449;2.197;485;;11.853;3.628;;2.886;3.025;3.534;4.934;1.102;;1.333;278;13.206;664;-;0;
dic-08;Desempleo;;380.026;;317.011;63.015;;11.919;2.535;2.834;3.291;2.766;4.017;21.653;10.777;156.808;10.244;4.516;16.847;35.237;-;-;-;77.422;7.501;-;-;-;-;-;-;8.637;;46.802;106.214;8.099;10.070;3.864;43.606;93.364;4.991;;165.296;214.730;;185.314;83.689;46.568;56.000;8.454;;8.881;19.769;317.960;32.974;-;442;
dic-08;Desempleo Abierto;;252.924;;226.983;25.942;;8.162;1.345;1.635;1.328;1.392;2.378;14.007;5.181;111.458;6.461;2.381;9.804;17.501;-;-;-;57.045;5.742;-;-;-;-;-;-;6.494;;39.477;86.305;6.278;8.098;3.495;25.633;53.559;4.138;;119.858;133.067;;124.934;58.911;30.794;33.843;4.442;;5.287;12.712;210.081;24.404;-;442;
dic-08;Desempleo Oculto;;127.102;;90.028;37.074;;3.757;1.190;1.199;1.963;1.374;1.640;7.646;5.596;45.350;3.783;2.135;7.042;17.735;-;-;-;20.377;1.759;-;-;-;-;-;-;2.144;;7.324;19.909;1.821;1.971;370;17.973;39.806;854;;45.438;81.664;;60.381;24.778;15.774;22.157;4.012;;3.595;7.057;107.879;8.570;-;0;
dic-08;Desempleo Cesante;;225.489;;196.643;28.847;;9.406;841;1.723;1.490;930;1.989;14.717;4.398;102.087;4.380;2.371;8.921;11.637;-;-;-;48.359;5.006;-;-;-;-;-;-;5.607;;34.676;80.036;7.219;8.289;3.262;19.170;40.735;3.255;;109.477;116.013;;85.204;54.615;34.169;44.761;6.742;;5.125;10.786;186.472;22.665;-;442;
dic-08;Desempleo Nuevo;;154.537;;120.368;34.169;;2.513;1.694;1.111;1.801;1.837;2.028;6.936;6.379;54.721;5.864;2.146;7.926;23.599;-;-;-;29.063;2.495;-;-;-;-;-;-;3.031;;12.125;26.178;880;1.780;603;24.436;52.629;1.736;;55.819;98.718;;100.111;29.074;12.399;11.240;1.712;;3.756;8.983;131.488;10.309;-;0;
dic-08;Población Económicamente Inactiva;;3.263.575;;2.239.590;1.023.986;;146.836;38.159;44.490;45.428;72.051;91.654;150.066;119.853;861.235;91.362;95.461;206.200;428.986;-;-;-;636.975;94.707;-;-;-;-;-;-;118.313;;373.352;457.882;96.805;47.347;43.037;431.648;744.041;45.479;;855.361;2.408.214;;1.277.925;391.533;331.762;609.628;652.728;;132.038;159.785;2.708.706;259.425;-;3.622;
dic-09;Población Total;;14.081.060;;9.356.685;4.724.375;;708.668;184.121;232.998;170.910;419.752;458.240;637.079;457.113;3.721.836;418.190;444.410;774.325;1.357.301;-;-;-;2.777.733;524.313;-;-;-;-;-;-;701.685;;1.593.857;2.259.976;392.948;237.144;199.625;1.741.742;2.686.254;245.139;;6.938.243;7.142.817;;2.758.072;1.732.811;1.710.981;2.575.157;1.255.695;;858.221;520.905;10.619.163;882.724;-;32.077;
dic-09;Población menor de 15 años;;4.048.344;;2.548.051;1.500.293;;184.971;54.922;72.241;42.911;128.971;134.135;179.309;165.545;1.119.835;120.909;119.664;228.203;392.699;-;-;-;684.398;135.152;-;-;-;-;-;-;250.349;;344.004;670.713;89.647;67.126;45.862;459.714;793.554;77.430;;2.071.224;1.977.120;;0;0;0;0;0;;242.172;130.266;2.326.871;172.468;-;8.597;
dic-09;Población en Edad de Trabajar (PET);;10.032.716;;6.808.634;3.224.082;;523.696;129.199;160.757;127.999;290.781;324.105;457.770;291.568;2.602.001;297.282;324.746;546.122;964.602;-;-;-;2.093.335;389.161;-;-;-;-;-;-;451.336;;1.249.853;1.589.263;303.301;170.017;153.763;1.282.027;1.892.700;167.709;;4.867.019;5.165.697;;2.758.072;1.732.811;1.710.981;2.575.157;1.255.695;;616.049;390.639;8.292.291;710.256;-;23.480;
dic-09;Población Económicamente Activa;;6.548.937;;4.397.247;2.151.690;;353.188;92.378;108.663;78.844;212.433;227.858;299.593;175.675;1.693.410;188.903;216.910;318.444;550.980;-;-;-;1.381.913;294.369;-;-;-;-;-;-;307.739;;827.951;1.107.095;193.482;121.947;107.898;811.133;1.116.912;110.828;;3.901.464;2.647.473;;1.378.957;1.362.531;1.372.914;1.941.492;493.043;;481.879;261.659;5.332.339;458.535;-;14.525;
dic-09;Empleo;;6.125.135;;4.050.179;2.074.956;;340.007;91.153;104.204;75.397;206.699;224.019;279.705;162.683;1.515.578;177.380;207.323;301.644;515.099;-;-;-;1.302.547;285.518;-;-;-;-;-;-;289.308;;777.605;977.430;184.418;111.720;103.719;764.290;1.029.040;101.958;;3.699.840;2.425.296;;1.183.981;1.248.941;1.322.707;1.882.352;487.155;;467.501;235.840;4.984.687;422.582;-;14.525;
dic-09;Empleo Adecuado/Pleno;;2.565.691;;2.100.511;465.180;;148.655;16.137;28.815;21.210;62.178;55.572;129.956;57.734;765.322;62.018;66.571;117.582;182.642;-;-;-;661.401;94.085;-;-;-;-;-;-;84.626;;430.797;567.300;116.103;59.840;48.461;374.215;456.548;47.247;;1.765.402;800.289;;347.956;623.429;652.469;828.243;113.593;;87.322;92.954;2.188.378;193.109;-;3.928;
dic-09;Subempleo;;1.071.615;;664.855;406.760;;52.454;13.888;21.750;18.004;19.289;25.147;61.002;30.151;317.909;34.026;38.397;58.459;136.066;-;-;-;156.152;41.568;-;-;-;-;-;-;33.826;;79.116;175.510;15.501;22.836;9.544;121.471;228.954;11.924;;636.204;435.411;;238.616;223.632;244.390;318.153;46.824;;62.957;55.606;872.344;76.106;-;4.602;
